Gene,log2FC,pvalue,padj
ENSG00000000003,-0.10375937481971098,0.3910022189557704,
ENSG00000000005,0.0,,
ENSG00000000419,-0.15733267444918564,0.46569394409092424,
ENSG00000000457,0.0992323973261584,0.6196836247823257,
ENSG00000000460,0.3770688245641667,0.34195379568523787,
ENSG00000000938,0.17777216717719346,0.8706561183984122,
ENSG00000000971,-0.22920159418496766,0.7705034905545308,
ENSG00000001036,0.24421981458588915,0.24596715197576202,
ENSG00000001084,-0.06844735689114323,0.6384005296121796,
ENSG00000001167,0.05971592201403464,0.5673914541565711,
ENSG00000001460,0.023490592343712535,0.8501343811404272,
ENSG00000001461,0.006589127312048859,0.9521204524706502,
ENSG00000001497,-0.018455370268556592,0.8765282976296317,
ENSG00000001561,0.29075810984364114,0.18223724656879087,
ENSG00000001617,0.0,,
ENSG00000001626,0.0,,
ENSG00000001629,-0.0008458540609215248,0.994457963538237,
ENSG00000001630,-0.14624062518028902,0.3910022189557705,
ENSG00000001631,0.03235109661037949,0.8002707713092745,
ENSG00000002016,0.30722974667966874,0.0837926465597997,
ENSG00000002079,0.0,,
ENSG00000002330,0.01351512478879835,0.9351001600839141,
ENSG00000002549,-0.28821275727717666,0.10929802157014537,
ENSG00000002586,-0.17688096187394997,0.5871648250335892,
ENSG00000002587,0.0,,
ENSG00000002726,0.0,,
ENSG00000002745,0.0,,
ENSG00000002746,0.0,,
ENSG00000002822,-0.11396478532718213,0.7080645340351234,
ENSG00000002834,-0.03090324199018024,0.8844087222237945,
ENSG00000002919,-0.08806883714465608,0.6202765967256741,
ENSG00000002933,0.0,,
ENSG00000003056,0.19439194791441938,0.3579275250249341,
ENSG00000003096,0.25,0.3910022189557705,
ENSG00000003137,0.0,,
ENSG00000003147,-0.21882785681478834,0.25657793055958417,
ENSG00000003249,0.5234130261525882,0.305035812059627,
ENSG00000003393,-0.08781863124373723,0.3721852557239872,
ENSG00000003400,0.217912223847045,0.16348107691215366,
ENSG00000003402,0.0024194929935807963,0.9812466029186446,
ENSG00000003436,0.25,0.3910022189557705,
ENSG00000003509,0.06669771162599059,0.41046958141918993,
ENSG00000003756,0.023784680805007063,0.824329109133847,
ENSG00000003987,0.2845864582732369,0.21780242528539218,
ENSG00000003989,0.0,,
ENSG00000004059,-0.053294121478688616,0.40699944884758604,
ENSG00000004139,0.05109685438106659,0.5256338555516538,
ENSG00000004142,0.007041295259627489,0.9584871617235303,
ENSG00000004399,-0.5496624627710593,0.4674848786907501,
ENSG00000004455,-0.02189243085289405,0.8597520918750409,
ENSG00000004468,-0.38701061591252506,0.11918559223756854,
ENSG00000004478,-0.14097002029300842,0.4076099795167615,
ENSG00000004487,-0.018105264437327406,0.8879227053584611,
ENSG00000004534,0.07452023321831547,0.7037139966476699,
ENSG00000004660,0.06906178559538789,0.8622237675614774,
ENSG00000004700,0.10632903802450677,0.6655365059231285,
ENSG00000004766,0.1291273726736737,0.2226313079937235,
ENSG00000004776,0.0,,
ENSG00000004777,-0.07907595816713098,0.5327916673197065,
ENSG00000004779,-0.06175395587054178,0.7729593333886629,
ENSG00000004799,0.0,,
ENSG00000004809,0.0,,
ENSG00000004838,0.0,,
ENSG00000004846,0.0,,
ENSG00000004848,0.0,,
ENSG00000004864,0.14914395221657628,0.35363880328487796,
ENSG00000004866,0.17648228150892797,0.5191846443529875,
ENSG00000004897,0.06468472717970375,0.11875754727133865,
ENSG00000004939,0.0,,
ENSG00000004948,0.0,,
ENSG00000004961,-0.05213370710154175,0.8670182655831297,
ENSG00000004975,0.05428180664313853,0.6936476871120412,
ENSG00000005001,0.08333333333333331,0.8511627527132344,
ENSG00000005007,-0.14531749727357912,0.11955619272046374,
ENSG00000005020,0.0019728401797149964,0.9961262100269045,
ENSG00000005022,-0.12482067161945665,0.1466170836779881,
ENSG00000005059,-0.1062694592852047,0.46870125909387084,
ENSG00000005073,0.0,,
ENSG00000005075,0.044943812762021196,0.8379791260009005,
ENSG00000005100,0.09354391260221462,0.5725247874770885,
ENSG00000005102,-0.01565390911996456,0.9510926388366939,
ENSG00000005108,0.0,,
ENSG00000005156,0.2016267436392214,0.010793233703688145,
ENSG00000005175,-0.14789410439360307,0.5557158718283474,
ENSG00000005187,0.10128042953687277,0.5083314970539303,
ENSG00000005189,-0.25,0.3910022189557705,
ENSG00000005194,0.06537109454972523,0.6812633362394779,
ENSG00000005206,-0.09685968488337782,0.5782987094415494,
ENSG00000005238,-0.06635518142035934,0.7876646819060596,
ENSG00000005243,-0.25,0.3910022189557705,
ENSG00000005249,0.04874687506009634,0.8511627527132343,
ENSG00000005302,0.13044037949228482,0.37223948035167637,
ENSG00000005339,-0.1876876076896119,0.22932411587671067,
ENSG00000005379,0.09687298901113639,0.4353485787262484,
ENSG00000005381,0.3333333333333333,0.4226497308103743,
ENSG00000005421,0.0,,
ENSG00000005436,0.06548628999126649,0.5608821365473494,
ENSG00000005448,0.0949617659964499,0.5748142365357091,
ENSG00000005469,0.38819195474355395,0.06270652992271308,
ENSG00000005471,0.0,,
ENSG00000005483,-0.029266992229386446,0.23543201887396803,
ENSG00000005486,-0.2018566751576687,0.09769961380283874,
ENSG00000005513,-0.28706540355607446,0.0541546584010872,
ENSG00000005700,-0.06858495195135728,0.6331561805345772,
ENSG00000005801,0.08749108827568008,0.3347402970142412,
ENSG00000005810,-0.21497592729163184,0.22275538173935758,
ENSG00000005812,0.0511523846600932,0.25608262428970135,
ENSG00000005844,-0.013371879562594557,0.9507200644202336,
ENSG00000005882,0.21511260393073162,0.28721202748497904,
ENSG00000005884,0.06888812822954549,0.7876787045699108,
ENSG00000005889,0.0676436830444116,0.6859442920892711,
